region,body,type,aphelion_apogee,perihelion_perogee,semi_major_axis,eccentricity,orbital_period,mean_anomaly,inclination,longitude_of_ascending_node,argument_of_perihelion,mass,D,R,C,SG,EV,RP,AT,TH,HE,HP,LB,Unnamed: 24,Unnamed: 25
Asteroid Belt,702 Alauda,,486686753.72429997,469318440.9012,478010077.2063,0.0182,2086.0,311.58,20.589,289.77,349.49,6057000000000000000,202.0,101.0,634.6017160251382,0.03962967856092539,0.08947175570707736,,,3.0,3.0,0.0,2.0,,
Asteroid Belt,45 Eugenia,,440305000.0,373488000.0,406897000.0,0.082,1638.0,45.254,6.61,147.939,85.137,5800000000000000000,188.0,94.0,590.6194188748811,0.043810479855138064,0.09075445009896735,,,2.0,2.0,0.0,2.0,,
Asteroid Belt,41 Daphne,,526144000.0,301220000.0,413682000.0,0.272,1679.618,247.5,15.765,178.159,46.239,6100000000000000000,187.0,93.5,587.4778262212914,0.046570654007835506,0.09332048167184544,,,2.0,2.0,0.0,2.0,,
Asteroid Belt,423 Diotima,,476504000.0,441353000.0,458927000.0,0.038297,1962.6,237.495,11.2304,69.471,200.103,6910000000000000000,175.859,87.9295,552.4773424676474,0.05965056530683173,0.10242113436344141,,,,2.0,,1.0,,
Asteroid Belt,372 Palma,,593800000.0,349049000.0,471420000.0,0.25958,2043.3,275.769,23.828,327.37,115.582,5150000000000000000,191.0,95.5,600.0441968356505,0.037688270606617134,0.08484373686881003,,,2.0,2.0,0.0,2.0,,
Asteroid Belt,259 Aletheia,,528873353.3463,409105297.8237,468989325.585,0.1276,2027.5,71.26,10.813,86.864,168.07,7790000000000000000,190.05,95.025,597.0596838147402,0.057579438413339346,0.10460866250198948,,,2.0,2.0,0.0,2.0,,
Asteroid Belt,9 Metis,,401000000.0,313100000.0,357100000.0,0.1231,1346.74,345.43,5.577,68.87,5.75,8000000000000000000,173.0,86.5,543.4955290710342,0.07136142203214273,0.11111042260544549,,,,2.0,,1.0,,
Asteroid Belt,532 Herculina,,487773000.0,341982000.0,414877350.0,0.1757028,1684.34607,131.03906,16.31351,107.55583,76.09745,22900000000000000000,167.791,83.8955,527.130972938485,0.21715201948692905,0.19088256730705222,,,,2.0,,1.0,,
Asteroid Belt,354 Eleonora,,466570000.0,370518000.0,418540000.0,0.11474,1709.3,123.762,18.403,140.37,5.5215,7500000000000000000,165.0,82.5,518.3627878423158,0.07354600550964187,0.11015938865612367,,,,2.0,,1.0,,
Asteroid Belt,128 Nemesis,,463590000.0,359000000.0,411350000.0,0.1272,1665.0,345.49,6.2453,76.243,303.82,3400000000000000000,163.0,81.5,512.0796025351362,0.034164055854567346,0.07462399817950308,,,,2.0,,1.0,,
